municode,State,Municipality,Domestic_Tariff,Divisional_Area,DAC_Area,Fixed,January_marginal,February_marginal,March_marginal,April_marginal,May_marginal,June_marginal,July_marginal,Agust_marginal,September_marginal,October_marginal,November_marginal,December_marginal
7059,Chiapas,Ocosingo,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7060,Chiapas,Ocotepec,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7061,Chiapas,Ocozocoautla de Espinosa,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7062,Chiapas,Ostuacan,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7063,Chiapas,Osumacinta,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7064,Chiapas,Oxchuc,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7065,Chiapas,Palenque,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7066,Chiapas,Pantelho,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7067,Chiapas,Pantepec,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7068,Chiapas,Pichucalco,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7069,Chiapas,Pijijiapan,4,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7070,Chiapas,El Porvenir,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7071,Chiapas,Villa Comaltitlan,4,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7072,Chiapas,Pueblo Nuevo Solistahuacan,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7073,Chiapas,Rayon,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7074,Chiapas,Reforma,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7075,Chiapas,Las Rosas,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7076,Chiapas,Sabanilla,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7077,Chiapas,Salto de Agua,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7078,Chiapas,San Cristobal de las Casas,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7079,Chiapas,San Fernando,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7080,Chiapas,Siltepec,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
